,name,description,founded_date,category_list,total_funding_amout
0,Base,Base - ネットショップ作成が、今までで１番簡単に。ネットショップをつくるのに、もう「勉強」と「お金」は必要ありません。今までECサイトを作りたくても時間・お金・技術さまざまな理由で始められなかった、そんな全ての方の悩みを解消するサービスです。,"Founded: January 01, 2010","CRM,Mobile,Software,Web Hosting,Developer Platform,E-Commerce,Online Portals,Geospatial,Personalization,Parking,Social Media,Android",1557900000
0,Spreaker,"Spreaker allows you to create your own online radio show or podcast - for free. It's easy, and you can get on the air in 60 seconds.

Launched in 2010, Spreaker is the leading platform for creating, distributing, measuring, and ...
See More
listening to live, on-demand audio shows. 

With over 38,000 podcasters hosting their shows on the platform and 6.7 million monthly active users, Spreaker enables you to interact with a rich community of creators and listeners. 

Creators will find simple, yet high-quality tools to record episodes, stream live, and auto-share content across social networks.","Founded: November 01, 2009","Radio,Podcast,Live,Web,Audio",1020000
0,Letterboxd,"Letterboxd - Keep a diary of the films you watch, and share your opinion about them with friends. Rate and review the good, the bad and the ugly. Curate and group films into lists. Follow friends for recommendations.","Founded: October 01, 2011","Films,Entertainment,Social,Film",0
0,Strava,"Online network for athletes. Strava is the Swedish word for “strive,” which epitomizes who we are and what we do: If you’re striving to improve, no matter your goals or ability, you’re one of us. 

Our website and mobile apps br...
See More
ing athletes together from all walks of life and inspire them to unlock their potential – both as individuals and as communities. From Olympians to weekend warriors, we’re out there on the road and trail, all over the world, day after day.","Founded: April 01, 2009","Athletes,Athletics,Community,Network,Social Network,Fitness,Hardware,Internet,Mobile,Social,Sports",41850000
0,Toggl,"Toggl - Time tracking tool that works in your browser, desktop and mobile phone.

Toggl online timer offers simple and free web based time tracking, powerful reports and timesheet export. 
 www.toggl.com

Toggl is designed for eff...
See More
ortless time tracking. You can easily capture fragmented worktime. Switching a task or creating a new one is as simple as one mouseclick.","Founded: June 16, 2006","Browser,Mobile,Tools,Tracking,Desktop,Time,Cloud Computing,Internet,Software,Task Management",0
0,Typeform,"Typeform - With no code or design experience necessary, you’ll be creating beautiful online forms & online surveys in no time, using our intuitive “typeform-builder”.","Founded: June 01, 2012","Survey,Form,Design,Human Computer Interaction,Mobile,User Experience Design,Web Design,Cloud Computing,Internet,Market Research,Software",51750000
0,Piktochart,"Use visual stories to engage your web audience. We are also known as an app for infographics. Sign up for free access now.

Here at Piktochart, we want to create an easy app for you to tell stories, whether it's in the format of...
See More
 a presentation, report, banner, or infographic. Join our community of over 8 million users in telling better stories.","Founded: December 01, 2011","Engagement,Visual,Audience,Web,Infographic,Content Creators,Data Visualization,SaaS",0
0,PicsArt,"PicsArt - It is the most popular free mobile photo editor with over 87,000,000 installs, one of the fastest growing photo artists’ social networks and largest galleries of artwork.","Founded: January 01, 2012","Mobile,Editing,Drawing,Photo Editing,Apps,Photography,Social Media",45000000
0,Konga,"Konga - One of Nigeria’s leading online megastores, Konga is growing rapidly across its mobile and SMS platforms. Founded in the summer of 2012, the company now has 150 employees. It promises to deliver products that range from fl...
See More
atscreen TVs to cosmetics anywhere in the country, within five days.","Founded: July 10, 2012","E-Commerce,Marketplaces,Online Shopping,Web,Grocery,Internet,Mobile,Shopping",78500000
0,Gleam,"Gleam - Drive the growth your business needs & the engagement your customers want through smart competitions.

Gleam is an growth marketing platform. We enable you run awesome campaigns that grow your business.

Gleam is an growth...
See More
 marketing platform. We enable you run awesome campaigns that grow your business: bit.ly/1ClG1T4","Founded: April 01, 2013","Coupons,Customer Feedback,Competition,Analytics,Apps,Fashion,Lifestyle,Mobile,SaaS,Social Media,Social Media Marketing,Software",0
0,HackerRank,"HackerRank - A social platform for programmers to solve interesting puzzles, build quick hacks, code game bots and collaborate to solve real-world challenges.","Founded: July 01, 2012","Games,Programmers,Social,Web,Hackers,Hacking,Challenges,Employment,Recruiting,Skill Assessment",19900000
0,Blibli,"Online retailer, Anywhere, Anytime Shopping.

Blibli.com, berdiri sejak 25 Juli 2011, adalah situs belanja online berkonsep mall yang menghadirkan lebih dari 40.000 produk. Produk-produk tersebut dibagi dalam kategori Electronic...
See More
s, Handphones, Women, Men, Kids & Baby, Hobbies, Automotives, dan Culinary.","Founded: January 01, 2010","Marketplaces,Online Shopping,Retailers,Web,Apps",0
0,JusBrasil,"JusBrasil connects consumers and attorneys through legal information.

Com 8 anos de vida, são mais de 25 milhões de jusbrasileiros compartilhando informação na maior comunidade jurídica do mundo.

O www.jusbrasil.com.br vem quebr...
See More
ando o mito de que o brasileiro não se interessa por seus direitos e deveres.

Como pouco mais de 7 anos, já somos mais de 15 milhões de Jusbrasileiros ou 10% dos internautas do nosso país.

Nosso primeiro passo foi organizar e dar acesso, fácil e gratuito, a toda informação jurídica brasileira. Nosso compromisso é disseminar conhecimento, gerar transparência e manter uma base histórica sempre à mão. 

O segundo é prover uma plataforma que gere valor através da construção do conhecimento jurídico.

Cidadãos conscientes dos seus direitos e deveres fazem muito mais por seu país.","Founded: May 15, 2008","Information,Legal,Services,Law,Lawyers,Web,Big Data,Internet",6000000
0,Freshdesk,"Freshdesk is a web 2.0 customer support software delivered as a service. Unlike software that is too simple to be really useful or expensive bloatware, Freshdesk is software done right - lots of features presented in a simple and ...
See More
intuitive way.","Founded: January 01, 2010","Customer Service,Information Technology,Software",150049930
0,HackerEarth,"HackerEarth is the largest platform to discover programmers around the world.

HackerEarth is the ultimate hub for programmers. Businesses use HackerEarth for building developer relations, talent engagement and  talent hiring.

Ha...
See More
ckerEarth is building the largest hub of programmers to help programmers practice and improve programming skills. Programmers come to HackerEarth to solve problems in various computer science domains like Algorithms, Data structures, Machine Learning, IoT, AI etc and participate in coding contests & hackathons. 


To Businesses, HackerEarth provides the most effective mechanism to engage with the developer ecosystem and effectively evaluate technical skills. HackerEarth provides two solutions to it’s customers


1.Recruit :


HackerEarth Recruit is an online software that allows you to objectively evaluate programming skills of candidates. Recruit easily fits into your technical hiring process, eliminates subjective biases from hiring process, reduces your time to hire engineers, and allows you to scale up your technical hiring process. More details on  www.hackerearth.com/recruit/


2.Sprint:  


HackerEarth Sprint is an online software to manage and host hackathons. Hackathons are used for building developer relations and engaging with the developer ecosystem. Business conduct hackathons for


Product Marketing - evangelizing technology solutions and APIs
Employer Branding - engaging with the developer ecosystem to create an employer brand
Crowdsourcing - through open innovation in developer communities
Employee engagement - Building positive workplace dynamics & creating a culture of innovation to drive organization success
Fostering innovation - Encouraging disruptive ideas and rewarding innovation for a larger cause


More details on  sprint.hackerearth.com


Reach us at - +91-80-4155-4695 | +1-650-461-4192 | [email protected]","Founded: January 01, 2012","Developers,Discover,Platform,College Recruiting,Recruiting,Software",5000000
0,Smallpdf,,"Founded: August 08, 2013","PDF,Documents,Productivity,Office,Web,Innovation Management",0
0,ZipRecruiter,"ZipRecruiter is literally the fastest way to put a job ad on free (and some paid) job boards across the web. It takes less than a minute to start posting jobs, and it's a great way to prospect for candidates from outside the usual...
See More
 sources.","Founded: March 01, 2010","Jobs Posting,Hiring,Recruiting,Jobs,Employment,Mobile Apps",0
0,Enjoei,Enjoei -  Your closet're full of stuff you no longer use? queasiness? we know how. come with us! Seu armário tá cheio de coisa que você não usa mais? enjoou? a gente sabe como é. vem com a gente!,"Founded: April 24, 2009","Buy,Second Hand,Sell,E-Commerce,Mobile Apps,Service Industry",0
0,Stripe,"Stripe is a suite of APIs that powers commerce for businesses of all sizes. 

Stripe is the best way to accept payments online. Stripe aims to expand internet commerce by making it easy to process transactions and manage an onli...
See More
ne business. We want to increase the GDP of the internet.
We believe that enabling more transactions is a problem rooted in code and design, not finance. Stripe is built for developers, makers, and creators.","Founded: January 01, 2010","API,Businesses,Payment,Web,Payments,Commerce,Credit Cards,Developer APIs,Software",440000000
0,Camp-fire.jp,"CAMPFIRE is a platform on the internet that collects small sums of money from a number of fans (patrons). This money covers the costs of turning the ideas of all creators of literary works into reality. For patrons, CAMPFIRE is di...
See More
fferent from donation or investment services. It offers a return on investment based on deliverables, limited-time novelty goods, and dissemination of advertisements and information from blogs and videos - a premium service (return) that only CAMPFIRE can provide.","Founded: January 01, 2007","Software,SaaS,Social,Recreation,Apps,Crowdfunding,Internet,Financial Services",330020000
0,DataCamp,"DataCamp - Become a data expert now. DataCamp is an online interactive training and education platform in the field of data analytics.

Become a data scientist! www.DataCamp.com is an online interactive training and education plat...
See More
form for R & Python in data science.

DataCamp is an interactive learning platform for data science. Learn R & Python from the comfort of your browser with over 75+ courses featuring high-quality video, in-browser coding and gamification. Courses are taught by experts and range from importing data, data visualization, machine learning, deep learning & more.

Already an expert? You can create your own course featuring your dataset and share it with over 1 million students!","Founded: January 01, 2013","Data Experts,Training,Online Education,Analytics,Big Data,Education",6140000
0,Jumia Eg,"Jumia, Egypt’s most convenient online shopping mall, serves you in the best way possible. Our aim is to provide you with the best in class products. On Jumia, you can find a wide range of products from the best brands at the best ...
See More
price and outstanding quality.","Founded: November 01, 2012",E-Commerce,0
0,Twilio,"We are changing communications forever by empowering software people to build the future of our modern communications apps.

Fueling the future of communications. Embed messaging, voice and video capabilities directly into your ...
See More
apps.","Founded: June 30, 2008","Apps,Communications,Software,Web Applications,Mobile Applications,Enterprise Software,Internet,Sms,VoIP",233700000
0,Bigfish,"Big Fish Games, the world leader in downloadable games. Try any game FREE for an hour. A New Game Every Day!. At Big Fish Games we believe that everyone deserves to have fun, and we are proud to help make that happen.","Founded: January 01, 2015","Downloadable Games,Gamers,Games,Web,Mobile Advertising,E-Commerce",0
0,Qiita,Qiita - The best way to log and share programming knowledge.,"Founded: February 29, 2012","Communities,Internet",0
0,Unbounce,"Unbounce is a self-serve hosted marketing tool that allows marketers to build, publish & A/B test landing pages without IT. To remove the pain felt by marketers that have to rely in internal IT/Software departments in order to get...
See More
 their marketing tasks done. Unbounce let's you build, publish and test your marketing promotion landing pages with no nerds required! Unbounce was created by 6 founders with a long history of working together on an off for the last decade - and a passion to build products with the highest User Experience standards. With almost 90 years of experience in software, marketing, product design and user experience we know how to make products that are usable, effect and desirable.","Founded: August 15, 2009","Marketing,Testing,Tools,Web,Landing Page,Advertising,Lead Generation,SaaS,Web Design",0
0,pCloud,"pCloud - It is your Personal or Professional cloud storage. All your photos, videos and documents are stored in one safe place and they are accessible on any device, wherever you go.","Founded: September 13, 2013","Files,Devices,Cloud Storage,Online,Security,Share,Web,Storage,Documents,Software",0
0,Ecosia,"Ecosia is the search engine that plants trees!

There are all kinds of problems in our modern world that need fixing. At Ecosia, we want to do our share to find and support innovative solutions to as many of these problems as we...
See More
 can. As part of our vision to end deforestation, we want to plant one billion new trees by the year 2020.","Founded: September 01, 2009","Community,Search Engines,Social Enterprises,Ecology,Eco Friendly,Green,Web,Communities,Search Engine",0
0,Taboola,"Taboola is the leading discovery platform, serving over 450 billion recommendations of articles, blogs, videos, products and apps to over one billion unique users every month on thousands of premium sites and mobile carriers. Publ...
See More
ishers, brand marketers, and performance advertisers leverage Taboola to retain users on their sites, monetize their traffic, and distribute organic and sponsored content as well as video to engage high-quality audiences. Partners include: USA TODAY, Huffington Post, MSN, Business Insider, The Independent, Welt, L’Express and The Weather Channel and other major publishers on every continent. A global company with local service touchpoints, Taboola is headquartered in New York City with offices in Bangkok, Beijing, Berlin, Hong Kong, Istanbul, London, Los Angeles, Mexico City, New Delhi, Paris, São Paulo, Seoul, Shanghai, Sydney, Tel Aviv, and Tokyo. Learn more at www.taboola.com and follow @taboola on Twitter.","Founded: January 01, 2007","Discover,Platform,Web,Content,Discovery,Growth,Audience,Advertising,Content Discovery,Video",160000000
0,BankBazaar.com,"BankBazaar.com is the world's first neutral online marketplace that gives you instant customized rate quotes on loans and insurance products. You can instantly search for, compare and apply for loans, credit cards and insurance pr...
See More
oducts on our site. Since we partner with India's leading financial institutions and insurance firms, you have to look in only one place to get a great deal.","Founded: June 12, 2009","Finance,Insurance,Search,Marketplaces,Compare,Loans,Web,E-Commerce,Marketplace",109000000
